145771 - COURO BOV.ACAB. ECO SOFT,CAMEL,10/12MM(119/2)|OC-190336/189483 OI-
3028|190,4300|06,10
145277 - COURO BOV.,ECO SOFT,PRETO,09/11MM(56/2)|OC-192824-191743 OI-
3117|101,6000|07,10
145277 - COURO BOV.,ECO SOFT,PRETO,09/11MM(39/2)|OC-192824-191743 OI-
3117|73,5100|07,10
145771 - COURO BOV.ACAB. ECO SOFT,CAMEL,10/12MM(2/2)|OC-192824-191743 OI-
3117|3,1300|06,10
154556 - CAL NAPA MINUANO PRETO 11/13"DAN(AMOS)(4/2)|OC - 12917 OI - 2900|9,6200|81,46
154485 - COURO BOV.,ACAB. NAPA MINUANO,CAFE,11/13MM(4/2)|OC - 12917 OI - 2900|6,1200|43,98
154547 - CAL NAPA MINUANO ROSE 11/13"DANDARA(AMOS)(6/2)|OC - 12917 OI - 2900|5,8800|74,62
154548 - COURO BOV.,ACAB. ATANADO,STONE,11/13MM(6/2)|OC - 12917 OI - 2900|5,8000|18,40
154549 - CAL NAPA MINUANO NATURAL 11/13"DANDARA(AMOS)(6/2)|OC - 2985 OI - 2985|10,2900|99,65
154550 - COURO BOV.,ACAB. ATANADO,PIMENTA,11/13MM(4/2)|OC - 2985 OI - 2985|9,0100|63,18
154551 - CAL NAPA MIN.CYAN BLUE TPX 16-4529 11/13"DAN(AMO)|OC - 2985 OI - 2985|9,6600|23,05
154552 - CAL NAPA MIN.LONDEN FROST TPX 17-0210 11/13"DAN|OC- 10765 -OI - 2543|7,5100|50,40
154553 - CAL NAPA MIN.BITIERSWEET TPX 17-1663 11/13"DAN(AM)|OC- 12156 OI - 2714|5,5800|6,00
154554 - CAL NAPA MIN.CORAL PINK TPX 14-1318 11/13"DAN(AM)|OC - 12917 OI - 2900|5,5600|6,00
154548 - COURO BOV.,ACAB. ATANADO,STONE,11/13MM(2/2|OC- 12937 OI - 3045|5,9000|46,88
123824 - COURO BOV.,ACAB. NAPA SOFT,COR PRETO,11/13MM(18PC)|OC- 12937 OI - 3045|10,4200|33,83
